analysis_set,initial_factors,factor,activity_threshold_percent,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2,median_group_r2,r2_range,r2_DOG2,r2_TARGET_OS,r2_GSE21257,r2_GSE39055
four_cohort_variable_only_1500,12,Factor5,1.0,1,GSE21257,group_specific,0.05633831024169922,9.551364183425903,2.5289386510849,0.25402605533599854,9.495025873184204,0.182265043258667,0.3257870674133301,9.551364183425903,0.05633831024169922
four_cohort_variable_only_1500,12,Factor6,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.26880502700805664,3.6515772342681885,2.447766065597534,2.935341000556946,3.382772207260132,3.102254867553711,3.6515772342681885,2.7684271335601807,0.26880502700805664
four_cohort_variable_only_1500,12,Factor7,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.114260196685791,2.357804775238037,2.275402843952179,2.314773201942444,0.2435445785522461,2.357804775238037,2.3339450359344482,2.114260196685791,2.2956013679504395
four_cohort_variable_only_1500,12,Factor8,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.3948330879211426,3.355962038040161,2.072194218635559,2.2689908742904663,2.9611289501190186,2.3424088954925537,3.355962038040161,2.195572853088379,0.3948330879211426
four_cohort_variable_only_1500,12,Factor9,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.24031996726989746,4.20343279838562,1.9359320402145386,1.6499876976013184,3.9631128311157227,4.20343279838562,2.1100401878356934,1.1899352073669434,0.24031996726989746
four_cohort_variable_only_1500,12,Factor1,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,1.2409985065460205,12.041640281677246,7.829581201076508,9.017843008041382,10.800641775131226,12.041640281677246,8.596402406692505,9.439283609390259,1.2409985065460205
four_cohort_variable_only_1500,12,Factor10,2.0,1,DOG2,group_specific,0.359499454498291,4.316443204879761,1.6193151473999023,0.9006589651107788,3.9569437503814697,4.316443204879761,1.1797428131103516,0.621575117111206,0.359499454498291
four_cohort_variable_only_1500,12,Factor2,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,1.0443449020385742,8.761852979660034,5.49418032169342,6.085261702537537,7.71750807762146,8.761852979660034,6.594949960708618,5.575573444366455,1.0443449020385742
four_cohort_variable_only_1500,12,Factor3,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,1.209956407546997,5.810177326202393,3.380812704563141,3.251558542251587,4.6002209186553955,5.810177326202393,4.179340600967407,2.3237764835357666,1.209956407546997
four_cohort_variable_only_1500,12,Factor4,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.6955862045288086,5.15788197517395,2.936708927154541,2.9466837644577026,4.462295770645142,5.15788197517395,3.422725200653076,2.470642328262329,0.6955862045288086
four_cohort_variable_only_1500,12,Factor5,2.0,1,GSE21257,group_specific,0.05633831024169922,9.551364183425903,2.5289386510849,0.25402605533599854,9.495025873184204,0.182265043258667,0.3257870674133301,9.551364183425903,0.05633831024169922
four_cohort_variable_only_1500,12,Factor6,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.26880502700805664,3.6515772342681885,2.447766065597534,2.935341000556946,3.382772207260132,3.102254867553711,3.6515772342681885,2.7684271335601807,0.26880502700805664
four_cohort_variable_only_1500,12,Factor7,2.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.114260196685791,2.357804775238037,2.275402843952179,2.314773201942444,0.2435445785522461,2.357804775238037,2.3339450359344482,2.114260196685791,2.2956013679504395
four_cohort_variable_only_1500,12,Factor8,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.3948330879211426,3.355962038040161,2.072194218635559,2.2689908742904663,2.9611289501190186,2.3424088954925537,3.355962038040161,2.195572853088379,0.3948330879211426
four_cohort_variable_only_1500,12,Factor9,2.0,2,DOG2;TARGET_OS,partially_shared,0.24031996726989746,4.20343279838562,1.9359320402145386,1.6499876976013184,3.9631128311157227,4.20343279838562,2.1100401878356934,1.1899352073669434,0.24031996726989746
