analysis_set,initial_factors,factor,activity_threshold_percent,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2,median_group_r2,r2_range,r2_DOG2,r2_TARGET_OS,r2_GSE21257,r2_GSE39055
four_cohort_variable_only_1500,16,Factor1,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.1510789394378662,12.072962522506714,7.759237289428711,8.906453847885132,10.921883583068848,12.072962522506714,8.585071563720703,9.22783613204956,1.1510789394378662
four_cohort_variable_only_1500,16,Factor10,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.15202760696411133,2.551048994064331,1.6796842217445374,2.0078301429748535,2.3990213871002197,1.7963767051696777,2.551048994064331,2.2192835807800293,0.15202760696411133
four_cohort_variable_only_1500,16,Factor11,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,0.7859885692596436,2.216285467147827,1.4284491539001465,1.3557612895965576,1.4302968978881836,2.216285467147827,1.5205860137939453,1.19093656539917,0.7859885692596436
four_cohort_variable_only_1500,16,Factor12,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,0.5220472812652588,1.8152594566345215,1.1939167976379395,1.2191802263259888,1.2932121753692627,1.8152594566345215,1.5986144542694092,0.8397459983825684,0.5220472812652588
four_cohort_variable_only_1500,16,Factor13,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.1383364200592041,3.1118571758270264,1.1932015419006348,0.7613062858581543,2.9735207557678223,3.1118571758270264,0.7689595222473145,0.7536530494689941,0.1383364200592041
four_cohort_variable_only_1500,16,Factor2,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.77079439163208,7.279777526855469,5.223539471626282,5.921792984008789,5.508983135223389,7.279777526855469,6.6147685050964355,5.228817462921143,1.77079439163208
four_cohort_variable_only_1500,16,Factor3,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.3023197650909424,7.13157057762146,4.0015533566474915,3.7861615419387817,5.829250812530518,7.13157057762146,4.992574453353882,2.5797486305236816,1.3023197650909424
four_cohort_variable_only_1500,16,Factor4,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,0.7727146148681641,4.716849327087402,2.889828383922577,3.0348747968673706,3.9441347122192383,4.716849327087402,3.522545099258423,2.5472044944763184,0.7727146148681641
four_cohort_variable_only_1500,16,Factor5,0.5,1,GSE21257,group_specific,0.1102745532989502,10.217589139938354,2.689966559410095,0.21600127220153809,10.107314586639404,0.11522769927978516,0.316774845123291,10.217589139938354,0.1102745532989502
four_cohort_variable_only_1500,16,Factor6,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.19698143005371094,4.700136184692383,2.483576536178589,2.518594264984131,4.503154754638672,4.700136184692383,2.3015201091766357,2.735668420791626,0.19698143005371094
four_cohort_variable_only_1500,16,Factor7,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.4146575927734375,3.513944149017334,2.229750156402588,2.49519944190979,3.0992865562438965,3.130924701690674,3.513944149017334,1.8594741821289062,0.4146575927734375
four_cohort_variable_only_1500,16,Factor8,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,0.7501304149627686,5.251169204711914,1.9182592630386353,0.8358687162399292,4.5010387897491455,0.9114623069763184,0.7501304149627686,0.76027512550354,5.251169204711914
four_cohort_variable_only_1500,16,Factor9,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.27763843536376953,3.490281105041504,1.8785640597343445,1.8731683492660522,3.2126426696777344,3.490281105041504,2.392011880874634,1.3543248176574707,0.27763843536376953
four_cohort_variable_only_1500,16,Factor1,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.1510789394378662,12.072962522506714,7.759237289428711,8.906453847885132,10.921883583068848,12.072962522506714,8.585071563720703,9.22783613204956,1.1510789394378662
four_cohort_variable_only_1500,16,Factor10,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.15202760696411133,2.551048994064331,1.6796842217445374,2.0078301429748535,2.3990213871002197,1.7963767051696777,2.551048994064331,2.2192835807800293,0.15202760696411133
four_cohort_variable_only_1500,16,Factor11,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.7859885692596436,2.216285467147827,1.4284491539001465,1.3557612895965576,1.4302968978881836,2.216285467147827,1.5205860137939453,1.19093656539917,0.7859885692596436
four_cohort_variable_only_1500,16,Factor12,1.0,2,DOG2;TARGET_OS,partially_shared,0.5220472812652588,1.8152594566345215,1.1939167976379395,1.2191802263259888,1.2932121753692627,1.8152594566345215,1.5986144542694092,0.8397459983825684,0.5220472812652588
four_cohort_variable_only_1500,16,Factor13,1.0,1,DOG2,group_specific,0.1383364200592041,3.1118571758270264,1.1932015419006348,0.7613062858581543,2.9735207557678223,3.1118571758270264,0.7689595222473145,0.7536530494689941,0.1383364200592041
four_cohort_variable_only_1500,16,Factor2,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.77079439163208,7.279777526855469,5.223539471626282,5.921792984008789,5.508983135223389,7.279777526855469,6.6147685050964355,5.228817462921143,1.77079439163208
four_cohort_variable_only_1500,16,Factor3,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.3023197650909424,7.13157057762146,4.0015533566474915,3.7861615419387817,5.829250812530518,7.13157057762146,4.992574453353882,2.5797486305236816,1.3023197650909424
four_cohort_variable_only_1500,16,Factor4,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.7727146148681641,4.716849327087402,2.889828383922577,3.0348747968673706,3.9441347122192383,4.716849327087402,3.522545099258423,2.5472044944763184,0.7727146148681641
four_cohort_variable_only_1500,16,Factor5,1.0,1,GSE21257,group_specific,0.1102745532989502,10.217589139938354,2.689966559410095,0.21600127220153809,10.107314586639404,0.11522769927978516,0.316774845123291,10.217589139938354,0.1102745532989502
four_cohort_variable_only_1500,16,Factor6,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.19698143005371094,4.700136184692383,2.483576536178589,2.518594264984131,4.503154754638672,4.700136184692383,2.3015201091766357,2.735668420791626,0.19698143005371094
four_cohort_variable_only_1500,16,Factor7,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.4146575927734375,3.513944149017334,2.229750156402588,2.49519944190979,3.0992865562438965,3.130924701690674,3.513944149017334,1.8594741821289062,0.4146575927734375
four_cohort_variable_only_1500,16,Factor8,1.0,1,GSE39055,group_specific,0.7501304149627686,5.251169204711914,1.9182592630386353,0.8358687162399292,4.5010387897491455,0.9114623069763184,0.7501304149627686,0.76027512550354,5.251169204711914
four_cohort_variable_only_1500,16,Factor9,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.27763843536376953,3.490281105041504,1.8785640597343445,1.8731683492660522,3.2126426696777344,3.490281105041504,2.392011880874634,1.3543248176574707,0.27763843536376953
