module_label,strategy,n_frozen_genes,n_available_genes,coverage_fraction,median_gene_detected_fraction_p_lt_0_01,minimum_gene_detected_fraction_p_lt_0_01,available_genes,missing_or_filtered_genes
M24,best_detected_unfiltered,7,7,1.0,0.1891891891891892,0.08108108108108109,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2,
M40,best_detected_unfiltered,111,97,0.8738738738738738,0.40540540540540543,0.0,ARL4D;ATAD2;BARX1;BUB1;C1S;CCNA2;CCNB3;CDC20;CDC6;CDCA2;CDCA8;CENPI;CENPK;CENPT;CEP72;CLSPN;CLTCL1;CXCL14;DEPDC1;DLGAP5;DNA2;DNAJB1;DSCC1;DSN1;E2F1;E2F7;E2F8;ECT2;ELOVL4;EPHA2;ESPL1;EXO1;FAM131C;FAM180A;FAM83D;FANCA;FANCD2;FANCM;FN1;GAS6;GPRC5C;GTSE1;HELLS;HSP90AA1;HSPH1;IFITM5;ITGBL1;KIF15;KIF18B;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;MAP1LC3C;MCM2;MCM5;MEX3A;MSI1;MXRA5;MYBL2;MYOF;NCAPG;NDUFB9;NMRAL1;NSMCE2;PLK4;POLE;POLE2;POLQ;RAB30;RCOR2;RECQL4;RELN;RRM2;SCML2;SFRP4;SH3D19;SIM2;SIVA1;SLC13A5;SMO;SPAG5;SPC25;ST6GALNAC3;ST8SIA5;SULT1C4;TK1;TOP2A;TRIB3;TRIP13;TSPAN33;TYMS;UBE2S;UBE2T;UHRF1,CALHM5;CRYBG1;DNPH1;GAREM2;MACROH2A2;MIS18A;MTFR2;NIBAN1;ORC1;ORC6;REXO5;SKA3;STUM;TONSL
M34,best_detected_p01_ge50,162,57,0.35185185185185186,0.6756756756756757,0.5135135135135135,ABCC3;ARHGAP30;ARHGDIB;B2M;CARD9;CBLN3;CD74;CD86;CSF1R;CTSH;CYP4V2;DAPP1;DENND1C;DTX3L;EGR1;ENPP5;EPAS1;EVI2A;FCER1G;FERMT3;FGR;GAB2;GBP1;GLUL;GMFG;GPR183;HCLS1;HNMT;IFI35;IL18;IRF5;KCNQ1;LY96;NCKAP1L;OAS1;OAS2;OSBPL3;PARP14;PARVG;PIK3IP1;PRKAR2B;PTK2B;PTPRC;PTPRO;RASSF5;RNASEL;SERPINB9;SLC43A2;SLCO2B1;SP100;SRM;SUSD1;TAPBPL;TBC1D9;TMEM123;TMEM144;VWA5A,ACOD1;ADCY7;ADGRE3;ADGRF1;ADGRG6;ALOX5;ANKRD22;ANXA3;ARRB1;ATF7IP2;ATP8A1;BATF2;BLNK;BTK;C3AR1;CAPG;CASP8;CBX7;CCR2;CD244;CD80;CLEC12A;CSF2RB;CYSLTR2;CYTH4;DHX58;DNASE1L3;DOCK2;DOK2;DRAM1;EHD3;EPHB3;F5;FAM107A;FAXDC2;FYB1;GIMAP6;GPSM3;GSAP;HACD4;IFI30;IL1RN;IL34;INPP5D;JAML;JCHAIN;KBTBD12;KIAA0040;LAMA3;LAPTM5;LCP1;LPAR5;MARCHF1;MCTP1;MILR1;MOSPD2;MS4A7;MYO1G;NCF4;NFAM1;PAG1;PAPPA;PARP12;PARP15;PARP9;PID1;PIK3AP1;PIK3CG;PRDM1;PTAFR;PTPN6;PTPRJ;PYCARD;RAB29;RETSAT;RGS18;RNF213;SAMD9L;SAMSN1;SASH3;SCTR;SERPINB8;SERPING1;SH3TC1;SIRPB2;SLC6A6;SLC8A1;SLCO3A1;SYK;SYTL1;TAGAP;TLR1;TLR3;TLR7;TLR8;TMEM140;TMEM86A;TNFAIP8;TNFAIP8L2;TNFSF8;TRANK1;TRIM14;TRIM22;VAV1;ZMAT1
M11,best_detected_p01_ge50,7,5,0.7142857142857143,0.7027027027027027,0.5135135135135135,ADAMTS1;ADAMTS4;ANGPT2;IGFBP3;MCAM,DRD1;STC1
M24,best_detected_p01_ge50,7,1,0.14285714285714285,0.6756756756756757,0.6756756756756757,NR2F1,CHST2;GABRA2;HHIP;NETO1;OSR2;RYR2
M40,best_detected_p01_ge50,111,40,0.36036036036036034,0.7297297297297297,0.5135135135135135,C1S;CCNA2;CDC20;CXCL14;DLGAP5;DSCC1;DSN1;ECT2;ELOVL4;EPHA2;FANCA;FANCD2;FN1;GPRC5C;HELLS;HSP90AA1;HSPH1;ITGBL1;KIF15;KIF22;KIF23;MCM5;MXRA5;MYOF;NCAPG;NDUFB9;NMRAL1;NSMCE2;POLE;RCOR2;RELN;SFRP4;SLC13A5;SPC25;TOP2A;TRIP13;TSPAN33;TYMS;UBE2T;UHRF1,ARL4D;ATAD2;BARX1;BUB1;CALHM5;CCNB3;CDC6;CDCA2;CDCA8;CENPI;CENPK;CENPT;CEP72;CLSPN;CLTCL1;CRYBG1;DEPDC1;DNA2;DNAJB1;DNPH1;E2F1;E2F7;E2F8;ESPL1;EXO1;FAM131C;FAM180A;FAM83D;FANCM;GAREM2;GAS6;GTSE1;IFITM5;KIF18B;KIF4A;LGR4;LHX2;LIMS2;MACROH2A2;MAP1LC3C;MCM2;MEX3A;MIS18A;MSI1;MTFR2;MYBL2;NIBAN1;ORC1;ORC6;PLK4;POLE2;POLQ;RAB30;RECQL4;REXO5;RRM2;SCML2;SH3D19;SIM2;SIVA1;SKA3;SMO;SPAG5;ST6GALNAC3;ST8SIA5;STUM;SULT1C4;TK1;TONSL;TRIB3;UBE2S
M34,best_detected_p01_ge80,162,18,0.1111111111111111,0.8918918918918919,0.8108108108108109,ARHGAP30;ARHGDIB;CBLN3;CD74;CD86;CSF1R;CYP4V2;DAPP1;EGR1;FGR;GMFG;HNMT;IFI35;IL18;LY96;OAS2;OSBPL3;PIK3IP1,ABCC3;ACOD1;ADCY7;ADGRE3;ADGRF1;ADGRG6;ALOX5;ANKRD22;ANXA3;ARRB1;ATF7IP2;ATP8A1;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CARD9;CASP8;CBX7;CCR2;CD244;CD80;CLEC12A;CSF2RB;CTSH;CYSLTR2;CYTH4;DENND1C;DHX58;DNASE1L3;DOCK2;DOK2;DRAM1;DTX3L;EHD3;ENPP5;EPAS1;EPHB3;EVI2A;F5;FAM107A;FAXDC2;FCER1G;FERMT3;FYB1;GAB2;GBP1;GIMAP6;GLUL;GPR183;GPSM3;GSAP;HACD4;HCLS1;IFI30;IL1RN;IL34;INPP5D;IRF5;JAML;JCHAIN;KBTBD12;KCNQ1;KIAA0040;LAMA3;LAPTM5;LCP1;LPAR5;MARCHF1;MCTP1;MILR1;MOSPD2;MS4A7;MYO1G;NCF4;NCKAP1L;NFAM1;OAS1;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP9;PARVG;PID1;PIK3AP1;PIK3CG;PRDM1;PRKAR2B;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PTPRO;PYCARD;RAB29;RASSF5;RETSAT;RGS18;RNASEL;RNF213;SAMD9L;SAMSN1;SASH3;SCTR;SERPINB8;SERPINB9;SERPING1;SH3TC1;SIRPB2;SLC43A2;SLC6A6;SLC8A1;SLCO2B1;SLCO3A1;SP100;SRM;SUSD1;SYK;SYTL1;TAGAP;TAPBPL;TBC1D9;TLR1;TLR3;TLR7;TLR8;TMEM123;TMEM140;TMEM144;TMEM86A;TNFAIP8;TNFAIP8L2;TNFSF8;TRANK1;TRIM14;TRIM22;VAV1;VWA5A;ZMAT1
M11,best_detected_p01_ge80,7,1,0.14285714285714285,0.8918918918918919,0.8918918918918919,ANGPT2,ADAMTS1;ADAMTS4;DRD1;IGFBP3;MCAM;STC1
M24,best_detected_p01_ge80,7,0,0.0,,,,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2
M40,best_detected_p01_ge80,111,16,0.14414414414414414,0.8918918918918919,0.8108108108108109,CDC20;CXCL14;DLGAP5;DSCC1;ECT2;ELOVL4;FANCA;FANCD2;FN1;HSP90AA1;MXRA5;NDUFB9;NMRAL1;SFRP4;SPC25;TSPAN33,ARL4D;ATAD2;BARX1;BUB1;C1S;CALHM5;CCNA2;CCNB3;CDC6;CDCA2;CDCA8;CENPI;CENPK;CENPT;CEP72;CLSPN;CLTCL1;CRYBG1;DEPDC1;DNA2;DNAJB1;DNPH1;DSN1;E2F1;E2F7;E2F8;EPHA2;ESPL1;EXO1;FAM131C;FAM180A;FAM83D;FANCM;GAREM2;GAS6;GPRC5C;GTSE1;HELLS;HSPH1;IFITM5;ITGBL1;KIF15;KIF18B;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;MACROH2A2;MAP1LC3C;MCM2;MCM5;MEX3A;MIS18A;MSI1;MTFR2;MYBL2;MYOF;NCAPG;NIBAN1;NSMCE2;ORC1;ORC6;PLK4;POLE;POLE2;POLQ;RAB30;RCOR2;RECQL4;RELN;REXO5;RRM2;SCML2;SH3D19;SIM2;SIVA1;SKA3;SLC13A5;SMO;SPAG5;ST6GALNAC3;ST8SIA5;STUM;SULT1C4;TK1;TONSL;TOP2A;TRIB3;TRIP13;TYMS;UBE2S;UBE2T;UHRF1
