cohort,module_label,n_genes_shared,edge_spearman,edge_permutation_q_positive,loading_spearman,loading_permutation_q_positive,split_half_median,split_half_q05,conservative_preservation_class
TARGET_OS,M34,162,0.5808529995676481,0.0004799040191961,0.713681673137528,0.0004799040191961,0.9737738474641,0.9586724045874306,strong_cross_cohort_representation_preservation
TARGET_OS,M11,7,0.3831168831168831,0.0716856628674265,0.25,0.3452909418116377,0.4742341610067575,0.1380683453505209,limited_cross_cohort_representation_evidence
TARGET_OS,M24,7,0.1779220779220779,0.2625074985003,-0.1785714285714286,0.6672665466906619,0.3721443996907236,0.1994603350571602,limited_cross_cohort_representation_evidence
TARGET_OS,M40,111,0.6698559713114505,0.0004799040191961,0.7769480519480518,0.0004799040191961,0.9357775848825982,0.9009623959992572,strong_cross_cohort_representation_preservation
GSE21257,M34,131,0.3760738657847864,0.0004799040191961,0.5142902898628089,0.0004799040191961,0.964959725545754,0.9396272975865028,strong_cross_cohort_representation_preservation
GSE21257,M11,7,0.6337662337662338,0.0034278858514011,0.6071428571428572,0.125374925014997,0.3311513353420979,0.2011199950584075,partial_cross_cohort_representation_preservation
GSE21257,M24,7,0.1558441558441558,0.2626383814146261,0.1785714285714286,0.3937394339313955,0.3427965623016607,0.1692996533511083,limited_cross_cohort_representation_evidence
GSE21257,M40,78,0.6528708784905496,0.0004799040191961,0.7463802020764044,0.0004799040191961,0.9144367271548012,0.8650303991673701,strong_cross_cohort_representation_preservation
GSE39055,M34,147,0.0667013750392094,0.0007998400319936,0.1444098557601493,0.0647870425914817,0.6288539479775259,0.4393155259066661,partial_cross_cohort_representation_preservation
GSE39055,M11,7,-0.0428571428571428,0.5586882623475304,0.7857142857142859,0.0503899220155968,-0.1467929063303825,-0.4110401807017116,no_clear_cross_cohort_representation_preservation
GSE39055,M24,7,0.2025974025974026,0.2471505698860228,0.3928571428571429,0.2588815570219289,0.2984293707922307,0.0779103272304119,limited_cross_cohort_representation_evidence
GSE39055,M40,97,0.1430745122347065,0.0004799040191961,0.3760782663580895,0.0004799040191961,0.66507731194382,0.4712010632069732,strong_cross_cohort_representation_preservation
