gene,gene_symbol_clean,n,events,coef,hr_per_sd,se_coef,z,p,ci_lower,ci_upper,c_index,error,q
CYP4V2_3,CYP4V2,186,124,-0.43351995055080705,0.6482233600735404,0.08951124286524889,-4.843189935407692,1.2777104290785673e-06,0.5439169208698829,0.7725325475681434,0.6646677860398177,,0.006388552145392836
NIBAN1_3,NIBAN1,186,124,-0.4133358192547567,0.6614401211982928,0.09434631201936104,-4.381049035281157,1.1810928485304733e-05,0.5497722414989513,0.7957896032327175,0.6314064124090509,,0.02935381569440003
CSRP1_3,CSRP1,186,124,-0.42700811358393953,0.6524582584315778,0.10201744713640455,-4.18563809985364,2.843661135804618e-05,0.5342140723703598,0.7968748878266859,0.6282881586311665,,0.02935381569440003
GPR34_3,GPR34,186,124,-0.39179572107990623,0.6758421601668138,0.09452128599520739,-4.1450527990041515,3.397354202076351e-05,0.5615502381928089,0.8133958360144353,0.631246501958903,,0.02935381569440003
SAMD9L_3,SAMD9L,186,124,-0.3861381486085292,0.6796766228145037,0.0946007708407145,-4.081765351137521,4.469490985839223e-05,0.5646482814600757,0.8181381698461658,0.623650755576877,,0.02935381569440003
KCTD12_3,KCTD12,186,124,-0.36916357399581134,0.6913123204826568,0.09091075510294341,-4.060724977784933,4.892057100975883e-05,0.5784834276837842,0.8261476501836047,0.6134164867674102,,0.02935381569440003
TLR7_3,TLR7,186,124,-0.36218725562855286,0.6961519972560244,0.08929390926360506,-4.056124976669325,4.989356970722057e-05,0.5843821744832238,0.8292990861880991,0.6260494123290957,,0.02935381569440003
TDRD7_3,TDRD7,186,124,-0.39059178057376454,0.6766563239232171,0.09727859911505442,-4.015187144212464,5.939864379415826e-05,0.559196508789276,0.8187886968332632,0.6142160390181498,,0.02935381569440003
PTEN_3,PTEN,186,124,-0.368682758094552,0.6916447943620401,0.09183201901743132,-4.014751739527469,5.950839874324776e-05,0.5777175439747207,0.8280387648899942,0.594547053649956,,0.02935381569440003
EVI2B_3,EVI2B,186,124,-0.3777668882497139,0.6853902545667623,0.09412473367104666,-4.013470992331926,5.98323583583695e-05,0.5699264416036235,0.824246370695331,0.6344447109618614,,0.02935381569440003
GPRC5C_3,GPRC5C,186,124,0.3864692237140926,1.4717751005980735,0.09672794697741667,3.9954246501719153,6.457839452768006e-05,1.2176051421969207,1.77900197007393,0.6238906212520988,,0.02935381569440003
ALOX5_3,ALOX5,186,124,-0.3669610917335687,0.6928366015910601,0.09247766527174035,-3.9681050625064382,7.244639586644178e-05,0.5779811721122728,0.8305159054748672,0.6200527704485488,,0.030185998277684076
SULT1C4_3,SULT1C4,186,124,-0.3385933214766625,0.7127722593252964,0.08625295761537398,-3.925585056300848,8.651919041504216e-05,0.6019108032783694,0.8440524590962181,0.619812904773327,,0.033276611698093136
FGL2_3,FGL2,186,124,-0.3719903844133848,0.6893608711015188,0.09543641684130924,-3.897782384599862,9.707759129237706e-05,0.5717563589492933,0.8311554443909384,0.6356440393379708,,0.034670568318706095
ATAD1_3,ATAD1,186,124,-0.35355897235131045,0.7021845818911877,0.09111417689974749,-3.8803947352817527,0.00010428707313843896,0.5873470087259375,0.8394750968686225,0.5859918445670425,,0.03476235771281299
SELENOP_3,SELENOP,186,124,-0.34177138421644865,0.710510620085243,0.08878787816882343,-3.849302306409398,0.00011845474204712782,0.5970273061498402,0.845564911443459,0.6031822179579436,,0.035463715178266825
BLNK_3,BLNK,186,124,-0.3621636147050502,0.6961684551266767,0.0945382609376616,-3.8308681703364567,0.0001276919105307854,0.5784199012549597,0.8378870036489915,0.635004397537379,,0.035463715178266825
