gene,gene_symbol_clean,n,events,coef,hr_per_sd,se_coef,z,p,ci_lower,ci_upper,c_index,error,q
CYP4V2_3,CYP4V2,186,143,-0.42797736528609603,0.6518261685305978,0.08096162949335657,-5.286175290249245,1.2490021567164763e-07,0.5561822541433875,0.763917494339442,0.6601545089882632,,0.0006245010783582382
FMO5_3,FMO5,186,143,-0.3785352645587888,0.6848638192088117,0.07967105583791292,-4.7512269114256656,2.0218608606813054e-06,0.5858522439601235,0.8006087809628759,0.6304412420145595,,0.0036783320728744316
MEX3A_3,MEX3A,186,143,0.43262169426667013,1.5412930304053278,0.09144711862146784,4.730840083189993,2.2359260974687232e-06,1.2883838909826257,1.8438481125095614,0.6169217055415243,,0.0036783320728744316
TRIP13_3,TRIP13,186,143,0.38579158391419216,1.4707781050534876,0.08370723684742079,4.608819959227686,4.049608089204564e-06,1.2482323299596092,1.7330012870077844,0.6246471549546873,,0.0036783320728744316
APOBEC3Z3_4,APOBEC3Z3,186,143,-0.3961017042893044,0.6729382517502717,0.08713684936481775,-4.54574278478829,5.474185513269445e-06,0.5672887811174767,0.7982634343247036,0.6372010102510771,,0.0036783320728744316
GPR34_3,GPR34,186,143,-0.39173754197911287,0.6758814811997906,0.08655791484232456,-4.525727574338048,6.018807300834696e-06,0.57041681121063,0.8008455705561959,0.6275441984846234,,0.0036783320728744316
DNA2_3,DNA2,186,143,0.39411049667456105,1.4830644133071682,0.08738771990265874,4.509907079776896,6.485602747168385e-06,1.2496127620687594,1.7601293142820107,0.6191502005645521,,0.0036783320728744316
CBX7_3,CBX7,186,143,-0.3895934613395934,0.6773321802503663,0.08656755783489271,-4.500455725950493,6.7807927667473505e-06,0.5716303390472183,0.8025796586783654,0.6340068340514039,,0.0036783320728744316
LOC477699_3,LOC477699,186,143,-0.36849735446342835,0.6917730397065714,0.08191966259102629,-4.4982772488102825,6.850632262394836e-06,0.5891603196743446,0.812257585048134,0.6055563809240826,,0.0036783320728744316
ZMAT1_3,ZMAT1,186,143,-0.37487273232213764,0.6873767540677732,0.08361909902325534,-4.483099395963135,7.356664145748863e-06,0.5834694676606565,0.8097883920595216,0.6256499777150498,,0.0036783320728744316
STUM_3,STUM,186,143,0.39116154167624645,1.4786973653714182,0.08826331857705515,4.431756566401441,9.346850835618552e-06,1.2437967741113463,1.7579607407476932,0.6068934779378993,,0.004248568561644796
DSCC1_3,DSCC1,186,143,0.36880889479084245,1.4460112369881353,0.08400931646081164,4.390095174299901,1.133010603787192e-05,1.2264866011069924,1.7048278355497122,0.6195216164017233,,0.00462273766805301
PTTG1_3,PTTG1,186,143,0.39066118824318613,1.477957679135903,0.08946492459450328,4.366640781444176,1.2617197627701542e-05,1.2402502306361014,1.7612243459906216,0.6103847868073095,,0.00462273766805301
ATAD1_3,ATAD1,186,143,-0.3694757497902899,0.6910965431917532,0.08486299116488262,-4.353791266589053,1.3380311513613228e-05,0.5851985099319303,0.8161579770036436,0.5752488486109048,,0.00462273766805301
TSPAN33_3,TSPAN33,186,143,0.39815596121094254,1.4890762499332741,0.0916156690911386,4.345937383427937,1.3868213004159031e-05,1.2443241727199816,1.7819697846650506,0.5896597830931511,,0.00462273766805301
TLR3_3,TLR3,186,143,-0.35810567962921885,0.698999201126713,0.08321787549364416,-4.303230255578557,1.683257534343163e-05,0.5938017803253838,0.8228333079568174,0.626281384638241,,0.005260179794822384
LOC111097086_3,LOC111097086,186,143,-0.33988898208102164,0.7118493464090726,0.07991095250683558,-4.253346649221176,2.1059917752779178e-05,0.6086501936492235,0.8325463415116591,0.6083791412865844,,0.00555858814567578
